No,Destination,Ratings,Tags,Description,Accommodation,Shopping,Transportation,AdventureLevel,Cuisine,Tourist_Attraction_1,Tourist_Attraction_2,Tourist_Attraction_3,Spiritual,Nature,Crowded,Nightlife,Average Budget,Latitude,Longitude
1,Agartala,3.8," ""Gateway to Tripuran Heritage"" "," Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture.",Hotels,Local Markets,Bus,Low,Tripura Cuisine,Ujjayanta Palace,Neermahal Water Palace,Tripurasundari Temple,3,4,2,1,3000,23.8315,91.2868
2,Agra,4.2," ""The city of Taj Mahal, the monument of eternal love"" "," Located on the banks of River Yamuna in Uttar Pradesh, Agra is a popular tourist destination as it is home to one of the 7 wonders of the world, the Taj Mahal. It is a sneak peek into the architectural history and legacy of the Mughal empire with two other UNESCO World Heritage Sites Agra Fort and Fatehpur Sikri. History, architecture, romance all together create the magic of Agra, and hence, makes for a must-visit for anyone living in or visiting India.",Hotels,Taj Mahal Complex,Auto Rickshaws,Medium,Mughlai Cuisine,Taj Mahal,Agra Fort,Fatehpur Sikri,5,4,5,3,5000,27.1767,78.0081
3,Ahmedabad,4.1," ""Manchester of the East"" "," A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture is making it a fast-growing tourist destination. The historic city of Ahmedabad or the old part of the city was declared as the UNESCO World Heritage Site.",Hotels,Local Bazaars,Metro,Medium-Great,Gujarati Cuisine,Sabarmati Ashram,Adalaj Stepwell,Sarkhej Roza,4,3,3,2,6000,23.0225,72.5714
4,Ajanta and Ellora Caves,4.4," ""World Heritage Ancient Rock-Cut Caves"" "," Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves, are located near Aurangabad in Maharashtra, India. Ajanta and Ellora caves complex is adorned with beautiful sculptures, paintings, and frescoes and include Buddhist monasteries, Hindu and Jain temples. The Ajanta caves are 29 in number and were built between the 2nd century BC and 6th century AD, whereas the Ellora Caves are more spread out and 34 in number and dates to the period between 6th and 11th Century AD.",Hotels,Local Shops,Bus,High,Maharashtrian Cuisine,Ajanta Caves,Ellora Caves,,4,5,3,1,12000,20.5517,75.7033
5,Ajmer,3.8," ""The land of Ajmer Sharif Dargah"" "," Surrounded by Aravali ranges, the city of Ajmer is most famous for the Ajmer Sharif Dargah of saint Muin-ud-din Chishti. This makes Ajmer one of the most significant places of Islamic pilgrimage in the world. Located at a distance of 130 km from Jaipur and 14 kms from Pushkar in Rajasthan, the city is firmly bound by its traditions and culture. Ajmer has a unique charm that lies in the ethos and craftsmanship practised over centuries.",Hotels,Local Markets,Auto Rickshaws,Medium,Rajasthani Cuisine,Ajmer Sharif Dargah,Ana Sagar Lake,Taragarh Fort,5,3,4,2,6000,26.4499,74.6399
6,Alibag,3.9," ""Coconut groves and Sandy Beaches"" "," Alibaug (also spelled as Alibag) is a small coastal town in the Konkan region of Maharashtra, known for its beaches, villas, and beautiful scenery. Alibag is very popular as a weekend getaway from the cities of Mumbai and Pune. ",Resorts,Local Markets,Ferry,Medium,Seafood,Alibag Beach,Kolaba Fort,Kanakeshwar Forest,2,4,3,1,5000,18.6417,72.8725
7,Allepey,4.5," ""Backwaters, Beaches and Lagoons - Venice of the East"" "," Officially called Alappuzha, Alleppey is known for its network of canals and lagoons with beautiful backwaters and the houseboats offering overnight stays. Located in the southern part of Kerala, the coastline of Alleppey offers some of the best beaches with water sports during the dry season. Coupled with other beautiful places in Kerala like Munnar and Thekkady, Alleppey is often considered for a honeymoon or for a great family vacation. ",Houseboats,Local Markets,Boat,High,Kerala Cuisine,Alappuzha Beach,Alleppey Backwaters,Vembanad Lake,2,5,4,2,1230,9.4981,76.3388
8,Almora,3.9," ""A cozy heritage town nestled in the Himalayas."" "," Set in the background of snow-capped Himalayan ranges of Uttarakhand, the sprawling town of Almora is a beautiful hill station. With easy accessibility from Delhi and other major cities of North India, Almora is known for its rich cultural heritage, unique handicrafts, sumptuous cuisine and magnificent wildlife. This town has two major rivers- Koshi (Kaushaki) and Suyal (Salmali).",Hotels,Local Shops,Car,Medium-Nice,Kumaoni Cuisine,Kasar Devi Temple,Zero Point,Bright End Corner,3,5,2,1,3724,29.597,79.6536
9,Amarnath,4.6," ""A haven for pilgrims."" "," Amarnath, located in union territory of Jammu and Kashmir is one of the most important pilgrimage in India for the worshippers of Lord Shiva. The Amarnath cave has an enshrined Shivaling formed naturally with ice, which resembles Lord Shiva.",Pilgrim Accommodations,Local Shops,Trek,High,Indian Cuisine,Amarnath Cave Temple,Sheshnag Lake,Pahalgam,5,5,3,1,3724,34.1526,77.576
10,Amritsar,4.4,"""Gateway to Punjab - home to Golden Temple"" ","Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.\xa0 The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar.\xa0Apart from the Golden Temple, Amritsar is known for its lip-smacking street food.",Hotels,Markets,Auto Rickshaws,Medium-Nice,Punjabi Cuisine,Golden Temple,Jallianwala Bagh,Wagah Border,5,2,5,4,3724,31.5497,74.3436
